pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_cv,timestamp
77.58081650210804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
85.1264911225395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
106.62469422368324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
79.66130861041937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
83.10717527370605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
81.70052046023325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
68.65212771466345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
65.41140178371919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
74.54864674938288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
97.1132449835303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
66.33717964940072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
77.0675147651285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
79.10661139508147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
93.30338197676409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
78.11342168078338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
75.37572783088345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
86.3776032387923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
77.43305800382386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
78.6486631996093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
79.29611377463672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
62.22242054363913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
69.56611200458285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
72.48051334281809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
70.20579072565957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
99.0228464919005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
80.95782009519681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
86.42320424207351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
97.69188769787648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
68.75060228911266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
